id,name,type,date
3299780e-112c-4fac-a710-24bf48a566e5,1979 general election,General election,1979-05-03
eae12bb0-1740-448c-8226-3f43c3184e24,Thatcher government formed,Change of prime minister,1979-05-16
74cc5fe5-bff5-4908-ad43-fae6885a4ba7,1983 general election,General election,1983-06-09
0c4019b7-f34c-49e8-b3eb-f40f0eb49254,1987 general election,General election,1987-06-11
b93f0142-d106-4703-b11f-cd3853d5fb66,Major government formed,Change of prime minister,1990-12-03
17a9d705-0353-483c-93d1-8fcef8de4e35,1992 general election,General election,1992-04-09
faf9e78b-46cb-4774-8760-f2288e1e9c82,1997 general election,General election,1997-05-01
a0ebd02a-5fc6-46f3-abb5-a0fd286516ae,Blair government formed,Change of prime minister,1997-05-07
68ddf8bf-eb3b-4b6a-a95f-6fb6898ea08d,2001 general election,General election,2001-06-07
2ac3ea62-fbc9-4376-a8fe-a59a8da57a58,2005 general election,General election,2005-05-05
3914089b-2ac4-483c-ab92-35f3cf5787ce,Brown government formed,Change of prime minister,2007-06-29
25e7354d-1944-454d-9041-6c3dfac6ee8a,2010 general election,General election,2010-05-06
9a93c5f9-51f3-47f1-b50a-ce593af0ede5,Coalition government formed,Change of prime minister,2010-05-26
fd898c43-1f7c-4274-8297-229a701cbca9,2015 general election,General election,2015-05-07
458e5883-0d39-4f63-b920-ffb0b2b9d13b,Cameron majority government formed,Change of prime minister,2015-05-29
4c1e87b9-4766-4c0a-9141-d8d83020182c,May government formed,Change of prime minister,2016-07-25
fc1115df-3f7d-40a6-a8ac-ed53322a24ce,2017 general election,General election,2017-06-08
fdaf1c72-5360-48e2-b791-469da8818fe8,Johnson government formed,Change of prime minister,2019-07-27
585123d6-e348-4691-aed7-8144e01bd3b8,2019 general election,General election,2019-12-12
18a19f9b-1b9a-451b-9285-4946620b6637,Truss government formed,Change of prime minister,2022-10-09
8eb03a6f-7d40-47d4-96d2-060b74b8957a,Sunak government formed,Change of prime minister,2022-10-30
24dbdaa3-470e-4a48-a97e-b8e77b894608,2024 general election,General election,2024-07-04
38f5976f-9abe-49bb-a098-147bb2401288,Starmer government formed,Change of prime minister,2024-07-23
