id,name,short_name,start_date,end_date
dc28a6ca-bd79-4ed7-822f-02870dea9d84,"Department for Transport, Local Government and the Regions",DTLR,2001-06-08,2002-05-29
27521f4d-db1f-4b0f-9c3a-0a07dd4cc5c1,Deputy Prime Minister's Office,DPM,2010-05-11,2015-05-08
12390fca-213d-4045-b45a-0d33c14f633d,Department of Health,DH,1988-07-25,2018-01-08
7f231bf6-78b2-41e3-830c-0eebb0f2f393,Office of the Leader of the House of Lords,Leader Lords,NULL,NULL
1faa79cf-c23f-4ef4-a7ba-159e6e4b77bd,Prime Minister's Office,PM,NULL,NULL
3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,HM Treasury,HMT,NULL,NULL
43af4dc6-1349-4481-948a-1dfa41659eb3,Department for Transport,DfT,2002-05-29,NULL
1c22b544-e3e8-40f2-815e-21a2d2a2e519,Deputy Prime Minister's Office,DPM,2002-05-29,2007-06-28
dc163b92-349e-4933-a70b-230c36f1710c,"Ministry of Housing, Communities and Local Government",MHCLG,2024-07-09,NULL
00150781-4217-4183-bdf0-2841e207c9e1,"Department for Business, Energy and Industrial Strategy",BEIS,2016-07-14,2023-02-07
98bc3992-dfb8-49e1-99d2-286aa9ecbac7,Department for Business and Trade,DBT,2023-02-07,NULL
818266e4-b2c1-43ba-8ed8-2894c24d4367,Government Equalities Office,GEO,NULL,NULL
c388ec6d-200e-4594-aedb-2947d0b7bf1a,"Ministry of Agriculture, Fisheries and Food",MAFF,NULL,2001-06-11
d8ca41e4-d6d3-40d1-9542-2973683d92b8,Department of Health and Social Care,DHSC,2018-01-08,NULL
c38bf8a3-b51c-48fe-bb7e-2e687bd1ad06,Department for Communities and Local Government,DCLG,2006-05-05,2018-01-08
bd8269fe-cac3-4ff2-ab01-31eabc3239cc,"Department for Children, Schools and Families",DCSF,2007-06-28,2010-05-11
d5eab9cd-fa61-4d9c-8534-3a68cf3e1724,Department of Trade,DoT,NULL,1983-06-13
4436bde2-d717-42d6-aa2c-3ab701ea14f5,"Department for Digital, Culture, Media and Sport",DCMS,2017-07-03,2023-02-07
74535c7d-5afe-4283-a16f-3ffa95e4727d,Department of National Heritage,DNH,1992-04-11,1997-05-02
af3124a8-cdee-4847-b0e1-41acdf926cb4,Department for Education,DfE,2010-05-12,NULL
d5b4a523-903e-4dd3-b699-473ed5d9dc46,Department for Education,DfE,1992-04-11,1995-07-05
56b99927-e705-4804-a35a-48902978cad2,Lord Chancellor's Department,LCD,NULL,2003-06-13
e02cf2e9-8ab4-4e79-992a-48d857f369ea,Office of the Secretary of State for Scotland,Scot,1999-07-01,NULL
74d7b4e7-e541-44ba-b643-4e91df504fd5,Department for International Development,DfID,1997-05-03,2020-09-02
de2ce45b-01e2-493b-a3b6-53be4e88f166,"Department for Culture, Media and Sport",DCMS,2023-02-07,NULL
f66a7d9f-05a2-4ad0-954d-54cf83a6b041,Department of Industry,DoI,NULL,1983-06-13
64430280-1188-4c44-9b01-590cab80e2e9,Ministry of Defence,MoD,NULL,NULL
39c4900d-4c75-4622-94b7-6490ea7c8de2,Department for Constitutional Affairs,DCA,2003-06-12,2007-05-09
5140880e-3784-47d9-a643-64c0397009a9,"Foreign, Commonwealth and Development Office",FCDO,2020-09-02,NULL
ab626519-b046-413c-99ef-664a2ecdf06e,Department for Education and Employment,DfEE,1995-07-05,2001-06-11
d224ad2a-a186-44f6-8ebf-6811bc0bebb3,Government Whips-House of Lords,Whip Lords,NULL,NULL
7f595c78-d15d-40cf-936e-6ba095c82cfa,Department of Social Security,DSS,1988-07-25,2001-06-11
