id,predecessor_organisation_id,successor_organisation_id,type,link_start_date,link_end_date
fa0c689e-558e-4f1f-9e47-00bf55351cc5,cd9a4a3e-15d2-4f51-b999-6eb75e55fef4,88e057e4-f7bc-428a-ac95-d5006b9e7ac0,Name change,2021-09-20,2021-09-20
4ce2cc03-1464-418f-9208-076b6ac6ae27,33a2ae61-e756-40ca-96da-c708a022b702,74d7b4e7-e541-44ba-b643-4e91df504fd5,Demerger,1997-05-03,1997-05-03
422d7f62-b5af-455f-aee4-0a461df9bdb8,1e0fa784-24ff-4194-bdeb-8729c147a40b,b32a41f4-be9b-42fd-9b45-86f2482e3684,Merger,1997-05-02,1997-05-02
c0ee9c4c-c38d-4cb6-98b3-115863a172ff,af3124a8-cdee-4847-b0e1-41acdf926cb4,74d7b4e7-e541-44ba-b643-4e91df504fd5,Transfer of functions: equalities,2018-04-30,2018-04-30
7baab496-4680-4646-81fb-16b354d9d366,143e8528-d7ab-4514-ac5b-e69d8adc9af2,43f14c03-ebec-4ff4-9800-945f5a8e053c,Transfer of functions: equalities,2010-08-18,2010-08-18
af8fec95-55ec-47e8-be2d-1bfd781cad85,56b99927-e705-4804-a35a-48902978cad2,39c4900d-4c75-4622-94b7-6490ea7c8de2,Name change,2003-06-12,2003-06-13
59995bf1-d1b3-4353-9164-1c4176dc02ea,734c0a22-dd5a-4daf-8ab5-95765499b6fc,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Transfer of functions,1981-11-11,1981-11-12
cdd8dea9-b54b-4ea5-b455-21fd65c943e7,74d7b4e7-e541-44ba-b643-4e91df504fd5,5140880e-3784-47d9-a643-64c0397009a9,Merger,2020-09-02,2020-09-02
46dedaf6-f63f-40c2-8d3a-2221ef9b7341,bd8269fe-cac3-4ff2-ab01-31eabc3239cc,af3124a8-cdee-4847-b0e1-41acdf926cb4,Name change,2010-05-12,2010-05-12
034e2b27-7036-418a-9afb-2e10be8a7093,e7a8b6b1-a92d-41f0-89e2-c452dc806b2c,4ab28968-f550-4da6-9f42-6c3a045f2263,Demerger,2009-06-05,2009-06-09
7b00af4a-f456-4287-ab93-2e94ee46f278,ab626519-b046-413c-99ef-664a2ecdf06e,fec96b64-de5a-4c15-be6a-da1f69dc5920,Transfer of functions,2001-06-08,2001-06-11
441ae9b5-774f-4efc-9588-408f5e011f19,e7a8b6b1-a92d-41f0-89e2-c452dc806b2c,1272757a-6903-4a7c-9a1d-aaf78323c2a7,Demerger,2008-10-03,2008-10-05
0ea5089f-da45-42dd-8a3b-41597145873f,4436bde2-d717-42d6-aa2c-3ab701ea14f5,6cbd29d6-19f1-4ccf-ad80-94e31aed0cb5,Transfer of functions,2023-02-07,2023-02-07
7b4ee45b-bf6b-433e-ba61-4877e85aba9f,74d7b4e7-e541-44ba-b643-4e91df504fd5,cf1ad370-166c-4263-9966-94a206be6354,Transfer of functions: equalities,2019-04-01,2019-04-01
f234eb55-5a7a-4b40-80bb-4c9c68a62b1e,dc28a6ca-bd79-4ed7-822f-02870dea9d84,43af4dc6-1349-4481-948a-1dfa41659eb3,Demerger,2002-05-29,2002-05-29
98e0b792-7915-400e-acb1-4ccd14a4b80a,4436bde2-d717-42d6-aa2c-3ab701ea14f5,de2ce45b-01e2-493b-a3b6-53be4e88f166,Name change,2023-02-07,2023-02-07
c66b94d8-e6a6-4e16-9035-507bb8c135e1,818266e4-b2c1-43ba-8ed8-2894c24d4367,143e8528-d7ab-4514-ac5b-e69d8adc9af2,Transfer of functions: equalities,2010-08-18,2010-08-18
f9181700-9744-4133-af87-5555332c3cd6,cf1ad370-166c-4263-9966-94a206be6354,af3124a8-cdee-4847-b0e1-41acdf926cb4,Transfer of functions: equalities,2024-07-08,2024-07-08
f8a30cb3-0db7-4f50-a158-56188dcf4526,219c3e74-63ea-485e-9c7b-b309e112c5d0,ac357d18-4343-4665-8242-bcc3576410cf,Demerger,1995-07-05,1995-07-05
d192e884-38af-482a-bae8-5a08aa2fb53a,39c4900d-4c75-4622-94b7-6490ea7c8de2,2d033e00-cba8-484d-b06a-c84d1d0b5d8b,Merger,2007-05-09,2007-05-09
629934fb-f9bc-438c-8e5d-5a5325b2467c,4c8d58ed-e49f-4ce6-93ec-78ca1baae691,bd8269fe-cac3-4ff2-ab01-31eabc3239cc,Name change,2007-06-28,2007-06-29
05a03258-dfee-4223-923a-5dcfbdc98eec,1c22b544-e3e8-40f2-815e-21a2d2a2e519,c38bf8a3-b51c-48fe-bb7e-2e687bd1ad06,Name change,2006-05-05,2006-05-05
491c6517-0b8a-4757-b6ec-6bedb9b9f06d,7f595c78-d15d-40cf-936e-6ba095c82cfa,fec96b64-de5a-4c15-be6a-da1f69dc5920,Name change,2001-06-08,2001-06-11
d3617bb1-613f-42c6-bbf5-6c56eb448087,c7958519-b5ea-4631-aae2-85a59f4af4ef,c38bf8a3-b51c-48fe-bb7e-2e687bd1ad06,Transfer of functions: equalities,2006-05-05,2006-05-05
325ae7b8-f867-408f-9c27-737378524d9d,0e2840cf-3adf-4b2b-8549-74e62d7d3a57,12390fca-213d-4045-b45a-0d33c14f633d,Demerger,1988-07-25,1988-07-25
b1589959-ec38-4e21-b784-75e9ff456f20,143e8528-d7ab-4514-ac5b-e69d8adc9af2,2d033e00-cba8-484d-b06a-c84d1d0b5d8b,Transfer of functions,2007-05-08,2007-05-09
