id,id_ifg_website,organisation_id,name,display_name,rank_equivalence,rank_equivalence_value
f06bdc72-75e7-4338-a569-506bf02b7782,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,Minister for Transport,Minister for Transport,MoS,4
7aa7f405-7dbf-46d7-add9-76a3afa45111,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,Minister for London,Minister for London,MoS,4
beab29ce-c91c-4b34-9dad-8d26f1299bda,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,Minister for Local Government,Minister for Local Government,MoS,4
a113fede-233b-43a3-a01a-b720e8b1cb10,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,"Secretary of State for Transport, Local Government and the Regions","Secretary of State for Transport, Local Government and the Regions",SoS,3
20f1bb0b-d4fc-40f9-935d-ba2601e185a6,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,Minister for Housing and Planning,Minister for Housing and Planning,MoS,4
843b3bd0-175b-4604-9fea-efb1adbd88bd,,dc28a6ca-bd79-4ed7-822f-02870dea9d84,Parliamentary Under-Secretary of State,"Parliamentary Under-Secretary of State, DTLR",PUSS,5
a87ea6f6-1b35-4dde-b187-dc18c3ce76bf,145.0,27521f4d-db1f-4b0f-9c3a-0a07dd4cc5c1,Deputy Prime Minister,Deputy Prime Minister,DPM,2
dfd85c76-0324-4bc6-8a83-cf4771607488,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Quality,Minister for Quality,PUSS,5
a0faf0c0-e6b6-497e-828b-a2d28c688026,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Community and Social Care,Minister for Community and Social Care,MoS,4
87969606-9bcb-4ba4-92b4-a43fc8818227,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Public Health,Minister for Public Health,MoS,4
b2488d99-b034-4304-9f92-8b1ffe9eea03,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Health,Minister for Health,MoS,4
652ef6aa-4395-4b96-b4af-87e6b73bab4f,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Care Services,Minister for Care Services,MoS,4
e6761307-0772-4c33-b06a-833a79aa0c1a,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Health Services,Minister for Health Services,MoS,4
f7800f2d-d9c9-4d5f-8c44-8ee8640d94e0,153.0,12390fca-213d-4045-b45a-0d33c14f633d,Minister of State,"Minister of State, DH",MoS,4
191c3d8d-beb4-4561-b3dd-91e1abe2abf7,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for NHS Delivery,Minister for NHS Delivery,MoS,4
4212e2c7-57c7-4640-ba8c-9553000add8b,,12390fca-213d-4045-b45a-0d33c14f633d,Parliamentary Under-Secretary of State,"Parliamentary Under-Secretary of State, DH",PUSS,5
c64ac04e-454a-4e0d-ac48-9ca06f1e72eb,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Care Services,Minister for Care Services,PUSS,5
53490da4-d0f6-4a23-92f3-7019598e133d,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Mental Health and Inequalities,Minister for Mental Health and Inequalities,PUSS,5
40d90679-011a-4720-aad1-710bc2fa546e,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Life Sciences,Minister for Life Sciences,PUSS,5
59d571ca-0322-43a7-8532-7204518fdeab,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Community Health and Care,Minister for Community Health and Care,PUSS,5
13b71c6e-7238-40a1-b5c4-639f8558f29c,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Public Health and Primary Care,Minister for Public Health and Primary Care,PUSS,5
e2643341-072c-48c3-b29d-0ffc0fd08b18,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Quality and Patient Safety,Minister for Quality and Patient Safety,MoS,4
ce68ceaa-cec4-4894-83c4-1091f3c155df,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Public Health,Minister for Public Health,PUSS,5
38426d8f-02ed-43cf-b66a-11e0b3516851,150.0,12390fca-213d-4045-b45a-0d33c14f633d,Secretary of State for Health,Secretary of State for Health,SoS,3
d668deb2-86bc-4ad8-99b5-1718904a2bf0,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Care Quality,Minister for Care Quality,PUSS,5
ab0c9470-a72a-480d-ba27-20453d64e17a,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for NHS Reform,Minister for NHS Reform,MoS,4
2e844b92-f694-4606-acaf-2c191a90c01b,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Delivery and Reform,Minister for Delivery and Reform,MoS,4
a6104540-610a-4030-80b4-3898a00d7a98,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Care and Support,Minister for Care and Support,MoS,4
da67a33e-4bd4-4744-a25a-40cf809a6149,,12390fca-213d-4045-b45a-0d33c14f633d,Minister for Public Health and Innovation,Minister for Public Health and Innovation,PUSS,5
d758a423-6a2f-4d3d-b5f7-610728978716,,7f231bf6-78b2-41e3-830c-0eebb0f2f393,Deputy Leader of the House of Lords,Deputy Leader of the House of Lords,Parl.,7
947a8d5c-9993-47de-9d79-d62b7e526ffd,357.0,7f231bf6-78b2-41e3-830c-0eebb0f2f393,Leader of the House of Lords,Leader of the House of Lords,Parl. lead.,6
e800ed0b-52b2-427f-8f13-a9f1ad56bd19,,1faa79cf-c23f-4ef4-a7ba-159e6e4b77bd,First Secretary of State,First Secretary of State,DPM,2
532b8261-82cf-4012-a3b8-5ea97640c3c2,145.0,1faa79cf-c23f-4ef4-a7ba-159e6e4b77bd,Deputy Prime Minister,Deputy Prime Minister,DPM,2
4c4203ef-0b06-40c8-bb84-4590a570f31c,144.0,1faa79cf-c23f-4ef4-a7ba-159e6e4b77bd,Prime Minister,Prime Minister,PM,1
6d7a08f4-aa5c-4cc1-897b-4b8ff9ba9b69,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Financial Services Secretary,Financial Services Secretary,PUSS,5
f41e2fb6-0a54-4c17-a0d5-3f9a0c895f2e,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Economic Secretary,Economic Secretary,MoS,4
417434d5-9356-443a-9be9-2b297cd0499f,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Exchequer Secretary,Exchequer Secretary,PUSS,5
422333ff-dad6-47ee-923f-00472ad49043,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Economic Secretary,Economic Secretary,PUSS,5
dd418053-c422-4bd4-97d2-026f8f92a289,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Economic Secretary (City Minister),Economic Secretary (City Minister),PUSS,5
4232baeb-b9b6-43d7-b0d7-5d6229c3a18b,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Financial Secretary,Financial Secretary,MoS,4
0c9cd7a8-c179-47f5-921d-75d390514d35,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Chief Secretary to the Treasury,Chief Secretary to the Treasury,MoS,4
a9190617-c45a-49dd-a6ad-77abb6b36815,146.0,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Chancellor of the Exchequer,Chancellor of the Exchequer,SoS,3
c219e5b8-7197-4bb4-8eb9-79ba71500ed5,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Commercial Secretary,Commercial Secretary,MoS,4
c3a6099f-a3e7-4aa1-a758-a59b0bb50db4,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Minister for Investment,Minister for Investment,MoS,4
10f505e7-e17f-423e-a5f7-c2e1592e6ea2,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Minister for Efficiency and Transformation,Minister for Efficiency and Transformation,MoS,4
87db23fa-6c90-47ca-b366-c4936c284267,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Parliamentary Secretary,"Parliamentary Secretary, HMT",PUSS,5
10e6bec1-3471-48bb-99ab-d3b768da5464,,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Paymaster General,Paymaster General,MoS,4
bbff44a1-0515-42ec-ab0b-e61419153663,153.0,3b2301a5-f2a5-44a8-aa67-1cf2bbafe704,Minister of State,"Minister of State, HMT",MoS,4
93de441b-a7c8-4f52-b56e-e60f0f7df9d5,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Rail and Aviation,Minister for Rail and Aviation,MoS,4
6af73a39-2d67-4759-b121-c14b9adfd29c,,43af4dc6-1349-4481-948a-1dfa41659eb3,Secretary of State for Transport,Secretary of State for Transport,SoS,3
dd69a169-ff6a-432a-9237-a382f980c9c7,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Transport,Minister for Transport,PUSS,5
29decf65-25c4-4b11-8f45-a3f34c4954a5,153.0,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister of State,"Minister of State, DfT",MoS,4
17b7bbe7-26d6-435e-a04e-a2378a1e01ee,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Roads and Local Transport,Minister for Roads and Local Transport,PUSS,5
3d72acaa-10ad-4f74-b73c-aef1c3a92959,,43af4dc6-1349-4481-948a-1dfa41659eb3,Parliamentary Under-Secretary of State,"Parliamentary Under-Secretary of State, DfT",PUSS,5
df726d59-fb22-45bf-95a6-8457c1b8e7f7,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Local Transport,Minister for Local Transport,PUSS,5
72437a48-5db9-47c7-ae09-8fbe69b50a14,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Transport,Minister for Transport,MoS,4
4fccef41-c071-4026-8258-90ad63cc8455,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Roads and Motoring,Minister for Roads and Motoring,PUSS,5
43f8b49f-47f3-419a-a02a-767392f279d0,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Regional and Local Transport,Minister for Regional and Local Transport,PUSS,5
a8707297-d9d6-40f5-baec-70f3fcbee96e,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Rail and HS2,Minister for Rail and HS2,MoS,4
b65797fc-e053-4ce2-8f1f-504e8cde8cc0,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Decarbonisation and Technology,Minister for Decarbonisation and Technology,MoS,4
f988b39b-d03f-4bbe-81e9-09a69a812296,,43af4dc6-1349-4481-948a-1dfa41659eb3,"Minister for Aviation, Maritime and Security","Minister for Aviation, Maritime and Security",PUSS,5
8475c0dd-cf3e-42f5-be83-25ac5f122427,,43af4dc6-1349-4481-948a-1dfa41659eb3,Minister for Rail,Minister for Rail,MoS,4
