id,person_id,house,type,constituency_id,start_date,end_date
969da2dc-fd44-4237-9d6e-1af62d368a33,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,eb2d929c-863b-48ca-8efc-3c5d85c7eabc,1987-06-11,1992-04-09
0afe9c9b-c483-471e-8d23-dda3ac1eb39e,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,eb2d929c-863b-48ca-8efc-3c5d85c7eabc,1992-04-09,1997-05-01
364626b8-60f8-4b7d-9352-50c9436285e8,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,b7e6e674-8336-4145-9a9a-9098caac6b71,1997-05-01,2001-06-07
af1d91ed-2bd1-40c9-8966-0ed5a326cac2,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,b7e6e674-8336-4145-9a9a-9098caac6b71,2001-06-07,2005-05-05
12459a0f-ee54-4b67-9011-e0e3c1d81e7b,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,b7e6e674-8336-4145-9a9a-9098caac6b71,2005-05-05,2010-05-06
05c4ccc7-dca1-4846-937f-7b0150080a31,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,d934380d-224e-4031-92f6-72b4492cf356,2010-05-06,2015-05-07
e208ef8f-3c8e-49da-82af-44eb0dfe104b,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,d934380d-224e-4031-92f6-72b4492cf356,2015-05-07,2017-06-08
27b568d0-9558-4b4d-9d7a-4b29caa24a23,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,d934380d-224e-4031-92f6-72b4492cf356,2017-06-08,2019-12-12
60d6b44b-53b7-4ad6-9dbc-93cd8f005128,c5511e06-ad9e-418a-a39d-caee9bf4f2a7,Commons,NULL,d934380d-224e-4031-92f6-72b4492cf356,2019-12-12,NULL
3738ee32-d8db-4a26-87c1-60265cdd887a,d7aec3c0-d97d-4233-9df2-e631bd0b2511,Lords,Hereditary,NULL,NULL,NULL
5b951f1c-4b68-4881-a88d-09e77e0a984f,a9d5c8ad-af52-4726-b315-6f9e16432ce6,Lords,Hereditary,NULL,1979-06-04,1999-11-11
5ebdb13f-7569-46dd-83cf-12e9a11cde2c,b6a28608-3340-424d-804b-16693865d5b7,Lords,Hereditary,NULL,NULL,NULL
8d0c99a3-d8be-4371-92f8-0f71260cd229,b6a28608-3340-424d-804b-16693865d5b7,Lords,Excepted hereditary,NULL,1957-12-18,2005-01-23
37f63c50-03fa-4a66-bd39-e102c4acb670,04f60e48-6efb-441f-b953-57f940d253f3,Lords,Excepted hereditary,NULL,2009-07-20,NULL
