id,representation_id,party,start_date,end_date
e47d0989-ee8f-4e84-8b24-00ab967ae779,969da2dc-fd44-4237-9d6e-1af62d368a33,Labour,1987-06-11,1992-04-09
50434284-c05c-4f0d-bfc9-7e217e6b1308,0afe9c9b-c483-471e-8d23-dda3ac1eb39e,Labour,1992-04-09,1997-05-01
52e183e2-18b1-43cc-b9a7-ead052f9ec18,364626b8-60f8-4b7d-9352-50c9436285e8,Labour,1997-05-01,2001-06-07
039dbbd5-6f97-4dde-89be-feee9d5e6a0f,af1d91ed-2bd1-40c9-8966-0ed5a326cac2,Labour,2001-06-07,2005-05-05
de1385cb-c767-4265-8fc6-e2d074808d7c,12459a0f-ee54-4b67-9011-e0e3c1d81e7b,Labour,2005-05-05,2010-05-06
ae681249-50c3-4fc5-af4a-78271cc9efa8,05c4ccc7-dca1-4846-937f-7b0150080a31,Labour,2010-05-06,2015-05-07
978f8b50-0514-49f8-aec2-ec00a543b48b,e208ef8f-3c8e-49da-82af-44eb0dfe104b,Labour,2015-05-07,2017-06-08
6a6bd984-ca04-41c8-9033-a98e5a491d39,27b568d0-9558-4b4d-9d7a-4b29caa24a23,Labour,2017-06-08,2019-12-12
a738298d-0da5-4c96-a836-fabdf264e8c4,60d6b44b-53b7-4ad6-9dbc-93cd8f005128,Independent,2023-04-23,NULL
6c543075-2c34-4d20-be69-bfb6d2c12963,60d6b44b-53b7-4ad6-9dbc-93cd8f005128,Labour,2019-12-12,2023-04-23
0a82db50-99f1-4d90-a33d-a1a52b8235ab,5b951f1c-4b68-4881-a88d-09e77e0a984f,Conservative,1979-10-25,1999-11-11
2de61874-ca23-40f0-a26d-21ff1b08caa7,8d0c99a3-d8be-4371-92f8-0f71260cd229,Conservative,1958-02-05,2005-01-23
72443f44-1eae-4b5f-b939-40c96207b783,37f63c50-03fa-4a66-bd39-e102c4acb670,Crossbench,2009-07-20,NULL
99f9f7a1-d6ed-4ba0-9937-c48a77f9da3d,ed22aa72-feab-4a6a-905f-404fe16726bb,Crossbench,1954-11-04,1999-11-11
9dc86e25-34ce-46f2-ad56-8c6d59dc0f44,77ae6831-7c61-4972-954b-46106bcf63ca,Labour,2011-01-13,2015-05-07
feff9160-65e0-43ff-86c1-39d51c5ea067,6d6e7682-4c41-47f3-9064-f159eef75ca4,Labour,2015-05-07,2017-06-08
4dd6dabf-eeb6-43cb-a7e1-f3a1dd121a35,ef944baa-8eb9-40b2-b34d-0b587ff7a43e,Labour,2017-06-08,2019-12-12
75647a7a-1e5a-446e-b0a9-f8d5c844f0fd,0a7cb8e1-3d47-4884-93fa-0288e8f19961,Labour,2019-12-12,NULL
947e0667-5219-4b35-8de3-e5324826dcea,a14a0f55-af97-4c33-a235-5eb20a540f45,Labour,1958-11-10,1959-10-08
e89ec112-fa4d-4ced-a37b-951cc67e5a62,dc67647a-c09f-4835-b2fa-af2ea14fa970,Labour,1959-10-08,1964-10-15
16372886-9b71-4b9a-8631-318dca0391d0,0beb434d-af60-42ab-b9d0-6f705a663eef,Labour,1964-10-15,1966-03-31
29415598-84e5-4cf0-89ab-f5a5cc62b7d1,3286b442-84d7-4e57-8bd9-7861b7e4cdf8,Labour,1966-03-31,1970-06-18
893b780f-0d31-45fc-942f-a952964ef874,debef3ff-5cd9-47b0-8336-8add81342604,Labour,1970-06-18,1974-02-28
f8ebf22a-501c-42a9-954a-6d41ba4953f8,edcdafd6-23ef-475b-823e-f70720312f16,Labour,1974-02-28,1974-10-10
6cbf11bc-aa38-4465-8ec4-4b26b89b20f8,a941c370-eaca-4b5e-ab62-2dae8598ff65,Labour,1974-10-10,1979-05-03
781021ed-ff6b-4e40-974f-62c456f8b699,1a3035cc-eee3-47b1-96fc-42cb74daaa26,Labour,1979-05-03,1983-06-09
bb6db6d3-ce13-4faf-90bd-79c4e9d6b180,3e0dfa79-910a-4806-9a20-57698bc94fc5,Labour,1983-06-09,1987-06-11
b4dd19ba-7e31-4eb0-bf5b-e8a3de682063,b2992cdd-3c82-4d37-ae92-ef9a70906fe7,Crossbench,1986-02-05,2006-03-21
